Year	CCD_to_CCD	CCD_to_JAP	CCD_to_KOR	CCD_to_NCS	CCD_to_SWM	JAP_to_CCD	JAP_to_JAP	JAP_to_KOR	JAP_to_NCS	JAP_to_SWM	KOR_to_CCD	KOR_to_JAP	KOR_to_KOR	KOR_to_NCS	KOR_to_SWM	NCS_to_CCD	NCS_to_JAP	NCS_to_KOR	NCS_to_NCS	NCS_to_SWM	SWM_to_CCD	SWM_to_JAP	SWM_to_KOR	SWM_to_NCS	SWM_to_SWM
1941	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1942	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1943	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1944	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1945	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1946	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1947	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1948	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1949	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1950	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1951	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1952	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
1953	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
1954	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
1955	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
1956	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
1957	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
1958	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
1959	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
1960	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
1961	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
1962	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
1963	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
1964	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
1965	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
1966	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
1967	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
1968	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
1969	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
1970	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
1971	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
1972	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
1973	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
1974	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
1975	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
1976	0	0	0	0	0	0	10	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
1977	0	0	0	0	0	0	8	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
1978	0	0	0	0	0	0	10	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
1979	0	0	0	0	0	0	9	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
1980	0	0	0	0	0	0	9	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
1981	0	0	0	0	0	1	10	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
1982	0	0	0	0	0	2	9	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
1983	0	0	0	0	0	3	8	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
1984	0	0	0	0	0	3	10	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
1985	0	0	0	0	0	4	13	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
1986	0	0	0	0	0	4	15	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
1987	0	0	0	0	0	6	12	3	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
1988	0	0	0	0	0	6	12	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24
1989	0	0	0	0	0	6	15	5	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
1990	0	0	0	0	0	7	16	6	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
1991	0	0	0	0	0	7	19	6	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31
1992	0	0	0	0	0	9	20	6	12	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38
1993	0	0	0	0	0	10	17	7	20	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	36
1994	0	0	0	0	0	12	17	8	20	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	37
1995	0	0	0	0	0	16	18	8	23	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	42
1996	1	0	0	0	1	18	19	8	28	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	50
1997	3	0	0	0	1	18	15	8	34	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	54
1998	0	0	0	0	0	20	20	9	34	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40
1999	1	0	0	2	0	24	24	13	36	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40
2000	3	0	0	2	1	23	20	21	35	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31
2001	1	0	0	1	1	18	17	28	29	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	7
2002	1	0	0	0	0	16	15	35	10	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	9
2003	0	0	0	0	0	9	12	37	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
2004	0	0	0	0	0	8	10	31	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
2005	0	0	0	0	0	6	6	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
2006	0	0	0	0	0	3	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
2007	0	0	0	0	0	3	1	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
2008	0	0	0	0	0	2	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
2009	0	0	0	0	0	2	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
2010	0	0	0	0	0	1	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
2011	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2012	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2013	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
